x1,,,,,
0.922,,,,,
0.758,,,,,
0.838,,,,,
0.427,,,,,
0.636,,,,,
0.977,,,,,
0.738,,,,,
0.818,,,,,
0.993,,,,0.74457,0.181235827
0.953,,,,,
0.878,,,,,
0.763,,,,,
0.451,,,,,
0.363,,,,,
0.704,,,,,
0.706,,,,,
0.834,,,,,
0.624,,,,,
0.442,,,,,
0.837,,,,,
0.697,,,,,
0.712,,,,,
0.828,,,,,
0.504,,,,,
0.841,,,,,
0.722,,,,,
0.984,,,,,
0.794,,,,,
0.93,,,,,
0.641,,,,,
0.466,,,,,
0.406,,,,,
0.877,,,,,
0.747,,,,,
0.406,,,,,
0.985,,,,,
0.9,,,,,
0.772,,,,,
0.919,,,,,
0.928,,,,,
0.707,,,,,
0.985,,,,,
0.793,,,,,
0.376,,,,,
0.856,,,,,
0.697,,,,,
0.925,,,,,
0.796,,,,,
0.737,,,,,
0.4,,,,,
0.979,,,,,
0.983,,,,,
0.956,,,,,
0.763,,,,,
0.952,,,,,
0.673,,,,,
0.727,,,,,
0.859,,,,,
0.756,,,,,
0.668,,,,,
0.727,,,,,
0.419,,,,,
0.403,,,,,
0.988,,,,,
0.446,,,,,
0.722,,,,,
0.762,,,,,
0.674,,,,,
0.866,,,,,
0.73,,,,,
0.704,,,,,
0.399,,,,,
0.811,,,,,
0.84,,,,,
0.954,,,,,
0.716,,,,,
0.792,,,,,
0.518,,,,,
0.823,,,,,
0.984,,,,,
0.424,,,,,
0.989,,,,,
0.591,,,,,
0.824,,,,,
0.712,,,,,
0.988,,,,,
0.902,,,,,
0.646,,,,,
0.798,,,,,
0.714,,,,,
0.786,,,,,
0.978,,,,,
0.712,,,,,
0.708,,,,,
0.955,,,,,
0.396,,,,,
0.721,,,,,
0.657,,,,,
0.937,,,,,
0.432,,,,,
