Parameter,Layer,Index,Value
Weight of Layer 1,Weight,670,0.0
Weight of Layer 1,Weight,671,0.0
Weight of Layer 1,Weight,672,0.0
Weight of Layer 1,Weight,673,0.0
Weight of Layer 1,Weight,674,0.0
Weight of Layer 1,Weight,675,0.0
Weight of Layer 1,Weight,676,0.0
Weight of Layer 1,Weight,677,0.0
Weight of Layer 1,Weight,678,0.0
Weight of Layer 1,Weight,679,0.0
Weight of Layer 1,Weight,680,0.0
Weight of Layer 1,Weight,681,0.0
Weight of Layer 1,Weight,682,0.0
Weight of Layer 1,Weight,683,0.0
Weight of Layer 1,Weight,684,0.0
Weight of Layer 1,Weight,685,0.0
Weight of Layer 1,Weight,686,0.0
Weight of Layer 1,Weight,687,0.0
Weight of Layer 1,Weight,688,0.0
Weight of Layer 1,Weight,689,0.0
Weight of Layer 1,Weight,690,0.0
Weight of Layer 1,Weight,691,0.0
Weight of Layer 1,Weight,692,0.0
Weight of Layer 1,Weight,693,-0.0
Weight of Layer 1,Weight,694,-0.0
Weight of Layer 1,Weight,695,-0.0
Weight of Layer 1,Weight,696,-0.0
Weight of Layer 1,Weight,697,-0.0
Weight of Layer 1,Weight,698,0.0
Weight of Layer 1,Weight,699,-0.0
Weight of Layer 1,Weight,700,-0.0
Weight of Layer 1,Weight,701,-0.0
Weight of Layer 1,Weight,702,-0.0
Weight of Layer 1,Weight,703,0.0
Weight of Layer 1,Weight,704,-0.0
Weight of Layer 1,Weight,705,0.0
Weight of Layer 1,Weight,706,0.0
Weight of Layer 1,Weight,707,0.0
Weight of Layer 1,Weight,708,0.0
Weight of Layer 1,Weight,709,0.0
Weight of Layer 1,Weight,710,-0.0
Weight of Layer 1,Weight,711,-0.0
Weight of Layer 1,Weight,712,-0.0
Weight of Layer 1,Weight,713,-0.0
Weight of Layer 1,Weight,714,-0.0
Weight of Layer 1,Weight,715,0.0
Weight of Layer 1,Weight,716,0.0
Weight of Layer 1,Weight,717,0.0
Weight of Layer 1,Weight,718,0.0
Weight of Layer 1,Weight,719,0.0
Weight of Layer 1,Weight,720,-0.0
Weight of Layer 1,Weight,721,0.0
Weight of Layer 1,Weight,722,-0.0
Weight of Layer 1,Weight,723,-0.0
Weight of Layer 1,Weight,724,-0.0
Weight of Layer 1,Weight,725,-0.0
Weight of Layer 1,Weight,726,-0.0
Weight of Layer 1,Weight,727,0.0
Weight of Layer 1,Weight,728,-0.0
Weight of Layer 1,Weight,729,0.0
Weight of Layer 1,Weight,730,0.0
Weight of Layer 1,Weight,731,0.0
Weight of Layer 1,Weight,732,0.0
Weight of Layer 1,Weight,733,0.0
Weight of Layer 1,Weight,734,0.0
Weight of Layer 1,Weight,735,0.0
Weight of Layer 1,Weight,736,0.0
Weight of Layer 1,Weight,737,0.0
Weight of Layer 1,Weight,738,-0.0
Weight of Layer 1,Weight,739,-0.0
Weight of Layer 1,Weight,740,-0.0
Weight of Layer 1,Weight,741,-0.0
Weight of Layer 1,Weight,742,-0.0
Weight of Layer 1,Weight,743,-0.0
Weight of Layer 1,Weight,744,-0.0
Weight of Layer 1,Weight,745,0.0
Weight of Layer 1,Weight,746,-0.0
Weight of Layer 1,Weight,747,0.0
Weight of Layer 1,Weight,748,-0.0
Weight of Layer 1,Weight,749,0.0
Weight of Layer 1,Weight,750,0.0
Weight of Layer 1,Weight,751,-0.0
Weight of Layer 1,Weight,752,-0.0
Weight of Layer 1,Weight,753,0.0
Weight of Layer 1,Weight,754,-0.0
Weight of Layer 1,Weight,755,0.0
Weight of Layer 1,Weight,756,-0.0
Weight of Layer 1,Weight,757,-0.0
Weight of Layer 1,Weight,758,-0.0
Weight of Layer 1,Weight,759,-0.0
Weight of Layer 1,Weight,760,0.0
Weight of Layer 1,Weight,761,0.0
Weight of Layer 1,Weight,762,0.0
Weight of Layer 1,Weight,763,0.0
Weight of Layer 1,Weight,764,-0.0
Weight of Layer 1,Weight,765,0.0
Weight of Layer 1,Weight,766,0.0
Weight of Layer 1,Weight,767,0.0
Weight of Layer 1,Weight,768,-0.0
Weight of Layer 1,Weight,769,0.0
Weight of Layer 1,Weight,770,-0.0
Weight of Layer 1,Weight,771,0.0
Weight of Layer 1,Weight,772,-0.0
Weight of Layer 1,Weight,773,-0.0
Weight of Layer 1,Weight,774,0.0
Weight of Layer 1,Weight,775,-0.0
Weight of Layer 1,Weight,776,0.0
Weight of Layer 1,Weight,777,-0.0
Weight of Layer 1,Weight,778,0.0
Weight of Layer 1,Weight,779,-0.0
Weight of Layer 1,Weight,780,-0.0
Weight of Layer 1,Weight,781,-0.0
Weight of Layer 1,Weight,782,-0.0
Weight of Layer 1,Weight,783,-0.0
Weight of Layer 1,Weight,784,0.0
Bias of Layer 1,Bias,1,0.264853298664093
