Parameter,Layer,Index,Value
Weight of Layer 1,Weight,157,0.0
Weight of Layer 1,Weight,158,0.0
Weight of Layer 1,Weight,159,0.0
Weight of Layer 1,Weight,160,-0.0
Weight of Layer 1,Weight,161,-0.0
Weight of Layer 1,Weight,162,-0.0
Weight of Layer 1,Weight,163,-0.0
Weight of Layer 1,Weight,164,-0.0
Weight of Layer 1,Weight,165,-0.0
Weight of Layer 1,Weight,166,-0.0
Weight of Layer 1,Weight,167,-0.0
Weight of Layer 1,Weight,168,-0.0
Weight of Layer 1,Weight,169,-0.0
Weight of Layer 1,Weight,170,0.0
Weight of Layer 1,Weight,171,0.0
Weight of Layer 1,Weight,172,0.0
Weight of Layer 1,Weight,173,0.0
Weight of Layer 1,Weight,174,0.0
Weight of Layer 1,Weight,175,0.0
Weight of Layer 1,Weight,176,0.0
Weight of Layer 1,Weight,177,0.0
Weight of Layer 1,Weight,178,0.0
Weight of Layer 1,Weight,179,0.0
Weight of Layer 1,Weight,180,0.0
Weight of Layer 1,Weight,181,0.0
Weight of Layer 1,Weight,182,0.0
Weight of Layer 1,Weight,183,0.0
Weight of Layer 1,Weight,184,0.0
Weight of Layer 1,Weight,185,0.0
Weight of Layer 1,Weight,186,0.0
Weight of Layer 1,Weight,187,0.0
Weight of Layer 1,Weight,188,-0.0
Weight of Layer 1,Weight,189,-0.0
Weight of Layer 1,Weight,190,-0.0
Weight of Layer 1,Weight,191,-0.0
Weight of Layer 1,Weight,192,-0.0
Weight of Layer 1,Weight,193,-0.0
Weight of Layer 1,Weight,194,-0.0
Weight of Layer 1,Weight,195,-0.0
Weight of Layer 1,Weight,196,-0.0
Weight of Layer 1,Weight,197,0.0
Weight of Layer 1,Weight,198,0.0
Weight of Layer 1,Weight,199,0.0
Weight of Layer 1,Weight,200,0.0
Weight of Layer 1,Weight,201,0.0
Weight of Layer 1,Weight,202,0.0
Weight of Layer 1,Weight,203,0.0
Weight of Layer 1,Weight,204,0.0
Weight of Layer 1,Weight,205,0.0
Weight of Layer 1,Weight,206,0.0
Weight of Layer 1,Weight,207,0.0
Weight of Layer 1,Weight,208,0.0
Weight of Layer 1,Weight,209,0.0
Weight of Layer 1,Weight,210,0.0
Weight of Layer 1,Weight,211,0.0
Weight of Layer 1,Weight,212,0.0
Weight of Layer 1,Weight,213,0.0
Weight of Layer 1,Weight,214,0.0
Weight of Layer 1,Weight,215,0.0
Weight of Layer 1,Weight,216,-0.0
Weight of Layer 1,Weight,217,-0.0
Weight of Layer 1,Weight,218,-0.0
Weight of Layer 1,Weight,219,-0.0
Weight of Layer 1,Weight,220,-0.0
Weight of Layer 1,Weight,221,-0.0
Weight of Layer 1,Weight,222,-0.0
Weight of Layer 1,Weight,223,-0.0
Weight of Layer 1,Weight,224,-0.0
Weight of Layer 1,Weight,225,-0.0
Weight of Layer 1,Weight,226,-0.0
Weight of Layer 1,Weight,227,0.0
Weight of Layer 1,Weight,228,0.0
Weight of Layer 1,Weight,229,0.0
Weight of Layer 1,Weight,230,0.0
Weight of Layer 1,Weight,231,0.0
Weight of Layer 1,Weight,232,0.0
Weight of Layer 1,Weight,233,0.0
Weight of Layer 1,Weight,234,0.0
Weight of Layer 1,Weight,235,0.0
Weight of Layer 1,Weight,236,-0.0
Weight of Layer 1,Weight,237,-0.0
Weight of Layer 1,Weight,238,-0.0
Weight of Layer 1,Weight,239,-0.0
Weight of Layer 1,Weight,240,0.0
Weight of Layer 1,Weight,241,0.0
Weight of Layer 1,Weight,242,0.0
Weight of Layer 1,Weight,243,0.0
Weight of Layer 1,Weight,244,0.0
Weight of Layer 1,Weight,245,-0.0
Weight of Layer 1,Weight,246,-0.0
Weight of Layer 1,Weight,247,-0.0
Weight of Layer 1,Weight,248,-0.0
Weight of Layer 1,Weight,249,-0.0
Weight of Layer 1,Weight,250,-0.0
Weight of Layer 1,Weight,251,-0.0
Weight of Layer 1,Weight,252,-0.0
Weight of Layer 1,Weight,253,0.0
Weight of Layer 1,Weight,254,0.0
Weight of Layer 1,Weight,255,0.28033992648124695
Weight of Layer 1,Weight,256,0.19206847250461578
Weight of Layer 1,Weight,257,0.24873481690883636
Weight of Layer 1,Weight,258,0.1632198691368103
Weight of Layer 1,Weight,259,0.2916485369205475
Weight of Layer 1,Weight,260,0.24554507434368134
Weight of Layer 1,Weight,261,-0.019503796473145485
Weight of Layer 1,Weight,262,-0.0
Weight of Layer 1,Weight,263,-0.0
Weight of Layer 1,Weight,264,-0.0
Weight of Layer 1,Weight,265,-0.0
Weight of Layer 1,Weight,266,-0.0
Weight of Layer 1,Weight,267,-0.0
Weight of Layer 1,Weight,268,0.0
Weight of Layer 1,Weight,269,0.0
Weight of Layer 1,Weight,270,0.0
Weight of Layer 1,Weight,271,0.0
Weight of Layer 1,Weight,272,0.0
Weight of Layer 1,Weight,273,0.0
Weight of Layer 1,Weight,274,-0.0
Weight of Layer 1,Weight,275,-0.0
Weight of Layer 1,Weight,276,-0.0
Weight of Layer 1,Weight,277,-0.0
Weight of Layer 1,Weight,278,-0.0
Weight of Layer 1,Weight,279,-0.0
Weight of Layer 1,Weight,280,-0.0
Weight of Layer 1,Weight,281,-0.0
Weight of Layer 1,Weight,282,-0.0
Weight of Layer 1,Weight,283,0.21034951508045197
Weight of Layer 1,Weight,284,0.23755435645580292
Weight of Layer 1,Weight,285,0.2278745472431183
Weight of Layer 1,Weight,286,0.2891324758529663
Weight of Layer 1,Weight,287,0.21332292258739471
