Weight of Layer 1,Weight,736,0.30518949,0.30518949,,,,,,,,,,,
Weight of Layer 1,Weight,767,0.304834068,0.304834068,,,,,,,,,,,
Weight of Layer 1,Weight,737,0.293700337,0.293700337,,,,,,,,,,,
Weight of Layer 1,Weight,72,0.289293528,0.289293528,,,,,,,,,,,
Weight of Layer 1,Weight,393,-0.285324723,0.285324723,,,,,,,,,,,
Weight of Layer 1,Weight,67,0.28355673,0.28355673,,,,,,,,,,,
Weight of Layer 1,Weight,75,-0.282389671,0.282389671,,,,,,,,,,,
Weight of Layer 1,Weight,769,0.276257187,0.276257187,,,,,,,,,,,
Weight of Layer 1,Weight,115,0.270718455,0.270718455,,,,,,,,,,,
Weight of Layer 1,Weight,704,-0.270277202,0.270277202,,,,,,,,,,,0
Weight of Layer 1,Weight,708,0.266409934,0.266409934,,,,,,,,0,,,
Weight of Layer 1,Weight,749,0.25719437,0.25719437,,,,,,,,,,,
Weight of Layer 1,Weight,301,0.249362618,0.249362618,,,,,,,,,,1,
Weight of Layer 1,Weight,305,-0.249026358,0.249026358,,,,,,,,,0,,
Weight of Layer 1,Weight,734,0.243209869,0.243209869,,,,,,,,,,,
Weight of Layer 1,Weight,116,0.241881311,0.241881311,,,,,,,,,,,
Weight of Layer 1,Weight,256,0.241671547,0.241671547,,,,,,,,,,,
Weight of Layer 1,Weight,321,-0.235711128,0.235711128,,,1,,1,,0,,,,
Weight of Layer 1,Weight,707,0.234635845,0.234635845,,,,,,,,,,,
Weight of Layer 1,Weight,71,0.234584823,0.234584823,,,,,,,,,,,
Weight of Layer 1,Weight,285,0.234411672,0.234411672,,,,,,,,,,,
Weight of Layer 1,Weight,394,0.233183384,0.233183384,,,,,,0,,,,,
Weight of Layer 1,Weight,228,0.228744134,0.228744134,,,,,,,,,,,
Weight of Layer 1,Weight,735,0.227361694,0.227361694,,,,,,,,,,,
Weight of Layer 1,Weight,328,0.227076367,0.227076367,,,,0,,,1,,,1,
Weight of Layer 1,Weight,334,-0.226430386,0.226430386,,,,,,,,,,,
Weight of Layer 1,Weight,172,0.225791439,0.225791439,,,,,,,,0,,,
Weight of Layer 1,Weight,447,0.225697607,0.225697607,,,,,,,,,,,
Weight of Layer 1,Weight,198,0.222933114,0.222933114,,,,,,,,,,,
Weight of Layer 1,Weight,271,0.22270748,0.22270748,,1,,,,,,,,1,
Weight of Layer 1,Weight,248,-0.222652316,0.222652316,,,,1,,1,,,,,
Weight of Layer 1,Weight,452,0.221820831,0.221820831,,,,,,,,,,,
Weight of Layer 1,Weight,340,0.219185099,0.219185099,,,,,,,,,,,
Weight of Layer 1,Weight,333,-0.218542516,0.218542516,,,,,,,,,,,
Weight of Layer 1,Weight,290,-0.218451411,0.218451411,,,,,,,,1,,,
Weight of Layer 1,Weight,230,0.21730797,0.21730797,,,,,,,,,,,
Weight of Layer 1,Weight,291,-0.21481286,0.21481286,,,,1,,,0,,,,0
Weight of Layer 1,Weight,278,-0.214777052,0.214777052,,0,,,,,,,,,
Weight of Layer 1,Weight,481,0.214593098,0.214593098,,,,,,,,,,,
Weight of Layer 1,Weight,286,0.214512259,0.214512259,,,,,,,,,,,
Weight of Layer 1,Weight,640,-0.21425584,0.21425584,,,,,,,,,,,
Weight of Layer 1,Weight,203,0.214193106,0.214193106,,1,,,,,,,,1,
Weight of Layer 1,Weight,765,0.214177057,0.214177057,,,,,,,0,,,,
Weight of Layer 1,Weight,768,-0.211713329,0.211713329,,,,,,,,,,,
Weight of Layer 1,Weight,750,0.211530477,0.211530477,,,,,,,,,,,
Weight of Layer 1,Weight,368,0.210648656,0.210648656,,,,,,,,,,,
Weight of Layer 1,Weight,324,0.209130809,0.209130809,,,,,,,,0,,,
Weight of Layer 1,Weight,293,-0.208996683,0.208996683,,,1,,,,0,,,0,0
Weight of Layer 1,Weight,298,0.20848152,0.20848152,,,,0,,0,,,1,1,
Weight of Layer 1,Weight,306,-0.20804961,0.20804961,,,,,,,,,,,
Weight of Layer 1,Weight,145,0.207920298,0.207920298,,,,,,,,,,,
Weight of Layer 1,Weight,530,-0.207599625,0.207599625,,,,,,,,,,,
Weight of Layer 1,Weight,318,-0.20713447,0.20713447,,,1,,,1,0,,0,,
Weight of Layer 1,Weight,421,-0.205580533,0.205580533,,,,,,,,,0,,
Weight of Layer 1,Weight,143,0.205545336,0.205545336,,,,,,,,,,,
Weight of Layer 1,Weight,326,0.205434307,0.205434307,,1,,,,,1,,,1,1
Weight of Layer 1,Weight,766,0.203176126,0.203176126,,,,,,,,,,,
Weight of Layer 1,Weight,243,0.203020051,0.203020051,,1,,,0,,,0,1,1,
