x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
7,92,5,9,0,7,0,1,0,20,0,0,0,100,9,4,0,18,41,1,14,37,39,25,0,6,97,0,61,7
,1,,,,,,,,,,,,1,,,,,,3,1,,,,,,1,,2,
,1,,,,2,,,,,,,,1,,,,4,,,,,,1,,,1,,,
,1,,,,,,,,,,,,1,,,,4,,,,,1,,,,1,,2,
,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,1,,2,
,1,,,,,,,,,,,,1,,,,,4,,,,1,,,,1,,,3
,1,,,,,,,,,,,,1,5,,,,,,,1,1,,,,1,,,
,1,,,,,,,,,,,,1,,,,4,,,,1,1,,,,1,,,
,1,,,,2,,,,,,,,1,,,,,4,,,,,1,,,1,,,
,1,,,,,,,,,,,,1,5,,,4,,,,,,1,,,1,,,
,1,,,,,,,,5,,,,1,,,,,,,,,1,,,,1,,2,
1,1,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,
,,,,,,,,,,,,,1,,,,4,4,,,,,1,,1,1,,,
,1,,,,,,,,5,,,,1,,,,,,,,,,1,,,1,,2,
,1,,,,,,,,,,,,1,,,,,4,,,1,1,,,,1,,,
,1,,,,,,,,,,,,1,,,,4,,,,,1,,,,1,,2,
,1,,,,,,,,,,,,1,,,,,4,,,,,1,,,1,,2,
,1,,,,,,,,,,,,1,,2,,,,,,,,1,,,1,,2,
,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,2,
,1,,,,,,,,,,,,1,,,,,4,,1,1,,,,,1,,,
,,,,,,,,,,,,,1,,,,4,,,,1,,1,,,1,,2,
,1,,,,,,,,,,,,1,,,,,4,,,,1,,,,1,,2,
1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,3
,1,,,,,,,,5,,,,1,,,,,,,,1,1,,,,1,,,
,1,,,,,,,,,,,,1,,,,,4,,,,1,,,,1,,2,
,1,,1,,,,,,,,,,1,,,,,4,,,,,,,,1,,2,
1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,2,
,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,2,
,1,,,,,,,,,,,,1,,,,,4,,,,1,,,,1,,2,
,1,,,,,,,,,,,,1,,,,4,,,,1,1,,,,1,,,
,1,,,,,,,,,,,,1,,,,,4,,,1,1,,,,1,,,
,1,,,,,,,,,,,,1,,,,,4,,,1,1,,,,1,,,
,1,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,2,3
,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,2,
