x1
0.677
0.7
0.667
0.794
0.742
0.729
0.873
0.818
0.799
0.839
0.871
0.852
0.878
0.882
0.889
0.866
0.845
0.913
0.874
0.895
0.888
0.895
0.908
0.906
0.909
0.91
0.903
0.884
0.937
0.892
0.922
0.88
0.88
0.86
0.877
0.888
0.878
0.878
0.862
0.88
0.893
0.887
0.888
0.892
0.894
0.915
0.888
0.883
0.907
0.916
0.926
0.927
0.933
0.906
0.926
0.926
0.919
0.922
0.8722068965517241
0.0601471639543206
